Accident_ID,Age,Driver_Experience,Vehicle_Speed,Traffic_Density,Visibility,Number_of_Vehicles,Road_Width,Historical_Accidents,Rainfall,Temperature,Hour,Day_of_Week,Weather,Road_Condition,Road_Type,Junction_Type,Lighting,Traffic_Control,Area_Type,Vehicle_Type,Driver_Distraction,Alcohol_Involved,Accident_Risk
ACC11040,44,20,62.2,63.4,12.0,2,8.0,6,0.49,26.8,20,Sunday,Clear,Damaged,Rural Road,Crossroad,Daylight,Signal,Urban,SUV,Yes,Yes,High
ACC11041,50,35,71.2,45.2,5.08,5,12.0,7,0.7,34.9,13,Wednesday,Cloudy,Dry,Highway,Straight Road,Daylight,Signal,Urban,Car,No,No,High
ACC11042,43,33,96.4,89.3,6.73,5,5.3,2,10.09,27.6,9,Friday,Rain,Dry,Rural Road,Roundabout,Daylight,Traffic Police,Suburban,Car,No,No,High
ACC11043,31,13,111.9,26.6,4.34,4,8.1,10,0.84,23.5,9,Tuesday,Clear,Dry,Residential,Roundabout,Daylight,Signal,Urban,SUV,No,No,High
ACC11044,29,9,57.3,42.3,7.73,5,6.8,7,1.23,36.8,6,Wednesday,Cloudy,Dry,Rural Road,Roundabout,Daylight,Signal,Urban,SUV,No,No,Low
ACC11045,24,0,92.1,66.0,8.55,3,5.7,11,0.16,26.3,15,Monday,Fog,Wet,Highway,Intersection,Street Lights,Stop Sign,Suburban,Bus,No,No,High
ACC11046,36,30,51.0,49.8,3.1,5,9.0,6,8.43,21.2,18,Saturday,Cloudy,Wet,Rural Road,Straight Road,Daylight,Uncontrolled,Urban,Car,No,No,High
ACC11047,39,23,44.6,57.9,9.75,7,8.4,12,1.26,26.8,16,Tuesday,Clear,Dry,Urban Road,Straight Road,Street Lights,Stop Sign,Rural,Motorcycle,No,No,Low
ACC11048,19,4,20.0,40.6,7.42,5,3.0,3,0.16,31.1,6,Sunday,Clear,Dry,Highway,T-Junction,Daylight,Traffic Police,Suburban,Motorcycle,Yes,No,Low
ACC11049,48,37,61.5,25.5,7.52,4,6.0,7,7.75,26.2,2,Sunday,Fog,Wet,Highway,Intersection,Daylight,Uncontrolled,Rural,Bus,No,No,Medium
ACC11050,35,15,53.9,37.8,5.35,1,5.3,7,0.87,17.6,1,Sunday,Clear,Damaged,Urban Road,Crossroad,Street Lights,Stop Sign,Urban,Car,No,No,Medium
ACC11051,31,22,59.3,69.4,8.21,4,6.3,8,0.71,15.9,1,Sunday,Fog,Dry,Urban Road,Straight Road,Street Lights,Signal,Rural,Car,No,No,High
ACC11052,24,12,60.2,65.9,12.0,3,6.2,9,3.5,24.8,0,Tuesday,Cloudy,Damaged,Urban Road,Intersection,Daylight,Stop Sign,Urban,Motorcycle,No,No,Medium
ACC11053,50,30,60.1,34.5,10.03,4,12.4,10,2.24,45.0,20,Monday,Fog,Dry,Rural Road,Intersection,Poor,Uncontrolled,Urban,Car,No,No,Medium
ACC11054,41,26,61.7,9.0,10.15,3,7.2,10,56.23,28.8,20,Saturday,Rain,Dry,Rural Road,Straight Road,Daylight,Uncontrolled,Urban,Truck,Yes,No,Low
ACC11055,44,36,20.6,56.9,4.74,6,6.6,7,44.7,35.5,23,Sunday,Storm,Wet,Residential,T-Junction,Daylight,Traffic Police,Urban,Bus,Yes,No,High
ACC11056,34,11,37.4,42.1,12.0,3,12.3,5,0.87,21.7,14,Friday,Clear,Dry,Urban Road,Intersection,Street Lights,Stop Sign,Urban,Truck,No,No,Low
ACC11057,53,33,61.1,54.8,6.78,1,7.1,4,5.49,25.0,22,Tuesday,Rain,Dry,Highway,Roundabout,Street Lights,Stop Sign,Urban,Motorcycle,No,No,High
ACC11058,44,28,31.0,70.5,9.54,1,8.9,5,1.65,20.4,20,Monday,Clear,Dry,Residential,Intersection,Daylight,Signal,Urban,SUV,No,No,Low
ACC11059,50,33,68.1,100.0,8.36,4,7.8,3,4.62,29.9,21,Saturday,Cloudy,Wet,Urban Road,Crossroad,Daylight,Signal,Urban,Car,No,No,High
ACC11060,48,30,49.4,45.1,8.39,4,11.8,3,3.34,33.6,13,Monday,Cloudy,Wet,Rural Road,Straight Road,Poor,Signal,Suburban,Car,No,Yes,High
ACC11061,28,13,52.6,48.1,10.22,2,8.0,8,5.81,13.9,13,Saturday,Fog,Dry,Rural Road,Crossroad,Daylight,Signal,Urban,Motorcycle,No,No,Medium
ACC11062,37,17,62.8,50.1,10.69,4,6.9,7,46.43,17.4,12,Tuesday,Storm,Dry,Urban Road,T-Junction,Daylight,Signal,Suburban,Car,No,No,Medium
ACC11063,50,31,73.3,78.8,4.05,3,7.0,7,53.14,17.8,18,Thursday,Rain,Dry,Residential,Roundabout,Daylight,Signal,Suburban,Car,No,No,High
ACC11064,40,35,68.0,64.9,4.45,3,9.3,5,0.99,30.5,10,Sunday,Clear,Dry,Rural Road,Straight Road,Poor,Stop Sign,Rural,Car,Yes,No,High
ACC11065,24,17,54.4,57.6,7.68,3,9.8,7,0.6,23.9,10,Tuesday,Clear,Dry,Urban Road,Intersection,Daylight,Stop Sign,Urban,SUV,No,Yes,High
ACC11066,36,30,66.2,68.1,9.26,5,10.4,6,23.69,32.6,19,Sunday,Rain,Wet,Urban Road,Roundabout,Street Lights,Stop Sign,Rural,SUV,No,No,High
ACC11067,44,36,46.0,18.8,8.13,5,7.2,5,0.7,23.9,2,Saturday,Clear,Dry,Urban Road,Intersection,Street Lights,Stop Sign,Suburban,Motorcycle,No,No,Low
ACC11068,19,13,30.9,61.6,5.67,2,6.0,7,0.01,27.6,16,Thursday,Clear,Dry,Urban Road,T-Junction,Daylight,Signal,Rural,Car,No,No,Medium
ACC11069,24,15,29.8,87.9,10.04,2,8.0,5,0.71,36.0,10,Friday,Clear,Dry,Highway,Straight Road,Street Lights,Traffic Police,Urban,Car,No,No,Low
ACC11070,19,3,54.3,59.6,11.86,6,9.4,6,0.07,21.0,5,Monday,Clear,Dry,Highway,T-Junction,Poor,Signal,Suburban,Car,No,No,High
ACC11071,40,22,62.5,60.5,7.67,2,11.3,10,0.59,28.3,22,Wednesday,Clear,Damaged,Urban Road,T-Junction,Daylight,Traffic Police,Rural,Car,Yes,No,High
ACC11072,52,29,46.2,58.3,9.27,4,7.9,7,0.03,25.1,0,Tuesday,Clear,Dry,Residential,T-Junction,Daylight,Signal,Urban,Car,No,No,Medium
ACC11073,18,0,41.8,95.1,4.07,2,10.6,6,0.13,29.4,11,Wednesday,Clear,Dry,Highway,T-Junction,Poor,Stop Sign,Suburban,Truck,No,Yes,High
ACC11074,37,31,46.6,100.0,7.1,2,5.7,7,0.4,25.5,16,Friday,Clear,Dry,Urban Road,Intersection,Street Lights,Signal,Rural,Motorcycle,No,No,Medium
ACC11075,28,14,46.9,48.8,9.66,3,8.4,6,46.41,35.2,10,Tuesday,Storm,Dry,Urban Road,Crossroad,Daylight,Signal,Suburban,Car,No,No,Medium
ACC11076,54,35,41.8,55.2,8.29,3,5.3,8,1.18,23.7,4,Wednesday,Clear,Dry,Highway,Intersection,Street Lights,Signal,Urban,Bus,No,No,High
ACC11077,37,26,62.6,38.8,5.99,5,7.9,7,0.66,18.0,5,Friday,Clear,Dry,Highway,Roundabout,Street Lights,Uncontrolled,Suburban,Bus,No,No,Medium
ACC11078,44,32,59.1,80.3,7.2,5,10.9,3,4.46,37.8,7,Thursday,Rain,Dry,Urban Road,T-Junction,Street Lights,Signal,Urban,Motorcycle,No,No,High
ACC11079,50,29,103.2,69.4,10.16,3,10.3,4,1.43,24.1,18,Friday,Clear,Dry,Urban Road,Roundabout,Poor,Stop Sign,Rural,Car,No,No,High
ACC11080,37,31,51.8,7.1,7.25,2,6.5,7,3.85,26.5,21,Tuesday,Fog,Dry,Rural Road,Intersection,Daylight,Signal,Urban,SUV,No,No,Medium
ACC11081,18,2,49.8,65.1,6.63,2,7.2,2,22.91,32.2,18,Saturday,Rain,Dry,Residential,T-Junction,Daylight,Signal,Urban,Truck,Yes,No,Medium
ACC11082,34,13,74.9,46.1,9.01,6,5.7,7,0.02,30.0,12,Saturday,Clear,Damaged,Urban Road,Intersection,Street Lights,Traffic Police,Urban,Car,No,Yes,High
ACC11083,37,16,53.2,59.5,7.84,4,7.7,2,0.05,30.5,2,Sunday,Clear,Dry,Highway,T-Junction,Daylight,Uncontrolled,Suburban,Truck,No,No,Low
ACC11084,22,15,35.0,24.8,10.55,5,10.4,3,0.46,23.9,0,Sunday,Fog,Dry,Highway,Intersection,Street Lights,Stop Sign,Rural,Motorcycle,No,No,Medium
ACC11085,18,0,72.5,43.8,6.67,3,4.7,8,1.17,30.1,19,Saturday,Fog,Dry,Rural Road,Straight Road,Daylight,Signal,Urban,Truck,Yes,No,High
ACC11086,20,13,50.8,37.3,9.02,4,10.4,5,8.52,29.0,4,Tuesday,Cloudy,Dry,Highway,Crossroad,Daylight,Signal,Urban,Motorcycle,No,No,Low
ACC11087,50,27,81.4,55.4,4.88,6,3.0,8,1.39,25.7,19,Tuesday,Cloudy,Wet,Residential,Crossroad,Daylight,Traffic Police,Urban,Motorcycle,No,No,High
ACC11088,22,13,74.8,48.9,8.35,6,4.3,5,1.0,29.1,3,Friday,Clear,Dry,Highway,T-Junction,Street Lights,Signal,Rural,Truck,Yes,No,High
ACC11089,66,55,98.2,62.2,11.53,8,3.6,4,43.15,21.9,8,Tuesday,Storm,Wet,Highway,Straight Road,Street Lights,Uncontrolled,Urban,Truck,No,Yes,High
ACC11090,51,45,47.9,31.8,2.55,2,7.6,10,0.63,34.3,21,Sunday,Clear,Dry,Highway,Roundabout,Daylight,Signal,Urban,Car,Yes,No,High
ACC11091,45,33,57.8,33.6,9.1,3,6.5,7,1.49,38.6,11,Friday,Fog,Dry,Residential,Straight Road,Daylight,Traffic Police,Suburban,Car,No,No,Low
ACC11092,18,6,43.9,59.0,7.11,4,11.3,8,3.71,19.0,18,Saturday,Cloudy,Wet,Rural Road,T-Junction,Daylight,Signal,Urban,Car,No,No,Medium
ACC11093,50,34,50.7,33.0,7.88,3,9.1,5,3.66,26.7,22,Sunday,Cloudy,Dry,Urban Road,Straight Road,Street Lights,Signal,Urban,Motorcycle,No,No,Low
ACC11094,29,9,55.3,40.0,7.12,5,6.2,3,2.62,22.4,23,Monday,Cloudy,Dry,Urban Road,Roundabout,Daylight,Stop Sign,Urban,Car,No,No,Medium
ACC11095,18,3,20.0,60.4,8.08,4,8.5,4,0.15,16.8,13,Monday,Clear,Dry,Highway,T-Junction,Street Lights,Traffic Police,Rural,Truck,No,No,Low
ACC11096,38,13,70.2,94.2,9.26,6,7.1,5,0.62,26.1,3,Sunday,Clear,Wet,Urban Road,Crossroad,Daylight,Traffic Police,Rural,Car,No,No,High
ACC11097,40,31,64.8,33.9,4.62,2,7.9,6,0.78,24.8,22,Sunday,Clear,Dry,Rural Road,Straight Road,Daylight,Uncontrolled,Suburban,Truck,No,No,High
ACC11098,26,17,104.4,15.7,9.39,3,8.3,6,1.0,31.6,12,Monday,Clear,Damaged,Rural Road,Crossroad,Street Lights,Uncontrolled,Urban,Bus,No,No,High
ACC11099,28,9,63.6,48.6,12.0,2,11.0,5,14.57,34.0,4,Wednesday,Rain,Dry,Rural Road,Crossroad,Daylight,Stop Sign,Urban,Car,No,No,Low
ACC11100,33,22,26.5,53.2,7.4,5,12.6,5,0.18,25.6,11,Monday,Clear,Damaged,Residential,Intersection,Daylight,Uncontrolled,Urban,Truck,No,No,Medium
ACC11101,33,25,70.6,95.9,6.56,6,10.6,5,1.9,35.9,18,Monday,Clear,Dry,Urban Road,Roundabout,Daylight,Uncontrolled,Suburban,SUV,Yes,No,High
ACC11102,43,22,54.4,67.8,7.5,4,6.7,10,76.14,25.6,13,Friday,Storm,Wet,Residential,Straight Road,Daylight,Stop Sign,Suburban,Car,No,No,High
ACC11103,32,22,50.4,60.0,8.64,4,8.1,5,2.88,28.4,22,Friday,Fog,Dry,Rural Road,Crossroad,Daylight,Stop Sign,Rural,SUV,No,No,High
ACC11104,53,33,55.9,65.6,6.11,2,7.5,6,2.22,31.2,20,Saturday,Fog,Damaged,Highway,Crossroad,Daylight,Stop Sign,Urban,Truck,No,No,High
ACC11105,38,29,77.0,48.0,9.45,6,4.4,4,80.0,32.7,11,Sunday,Storm,Dry,Rural Road,Roundabout,Street Lights,Stop Sign,Suburban,Motorcycle,No,No,Medium
ACC11106,18,0,64.4,29.2,12.0,5,8.6,3,0.17,32.1,2,Tuesday,Clear,Dry,Urban Road,Crossroad,Street Lights,Uncontrolled,Suburban,Car,No,No,Low
ACC11107,48,37,99.3,88.3,12.0,6,10.1,4,0.67,23.9,23,Tuesday,Clear,Dry,Rural Road,Crossroad,Street Lights,Signal,Urban,Truck,No,No,Medium
ACC11108,26,6,48.9,47.1,10.41,3,4.6,7,13.17,33.3,6,Tuesday,Rain,Dry,Highway,Crossroad,Daylight,Signal,Suburban,Motorcycle,No,No,Low
ACC11109,48,26,65.3,84.1,10.36,3,6.7,18,12.35,33.5,1,Saturday,Rain,Dry,Urban Road,Crossroad,Street Lights,Stop Sign,Rural,Truck,No,No,High
ACC11110,39,32,60.7,51.0,10.93,4,6.4,4,0.64,29.0,13,Friday,Clear,Damaged,Rural Road,Intersection,Street Lights,Signal,Rural,Bus,No,No,Medium
ACC11111,26,20,38.0,78.9,8.06,3,9.1,2,17.87,28.1,19,Friday,Rain,Icy,Highway,Intersection,Daylight,Stop Sign,Suburban,Motorcycle,No,No,High
ACC11112,30,13,43.9,81.2,4.45,3,9.6,4,0.49,28.0,21,Monday,Clear,Dry,Urban Road,T-Junction,Street Lights,Traffic Police,Urban,Car,No,No,Medium
ACC11113,40,23,73.4,45.0,10.47,5,12.7,2,0.3,34.7,1,Thursday,Clear,Damaged,Urban Road,Straight Road,Poor,Stop Sign,Rural,Car,No,No,High
ACC11114,38,21,52.6,54.5,4.28,2,8.6,8,2.12,23.6,7,Friday,Cloudy,Dry,Highway,Roundabout,Daylight,Uncontrolled,Suburban,Car,No,No,Medium
ACC11115,45,31,69.2,65.4,6.61,3,10.4,6,2.6,22.3,14,Saturday,Cloudy,Dry,Highway,T-Junction,Poor,Signal,Urban,SUV,Yes,No,High
ACC11116,40,16,57.0,78.5,9.33,3,8.2,3,2.09,22.4,5,Thursday,Cloudy,Wet,Residential,Intersection,Daylight,Traffic Police,Urban,Car,No,No,Medium
ACC11117,35,16,44.1,27.4,5.87,5,7.6,6,1.02,27.7,16,Friday,Clear,Wet,Residential,Intersection,Daylight,Stop Sign,Urban,Car,No,No,Low
ACC11118,36,30,45.2,100.0,12.0,5,7.6,4,6.32,23.7,18,Saturday,Fog,Icy,Highway,Intersection,Daylight,Signal,Urban,Car,No,No,High
ACC11119,33,12,36.8,43.8,6.95,3,9.6,7,1.11,25.8,10,Friday,Clear,Dry,Rural Road,T-Junction,Street Lights,Stop Sign,Suburban,SUV,No,No,Low
ACC11120,41,30,76.1,41.1,4.88,4,7.7,5,1.4,27.5,8,Wednesday,Clear,Wet,Highway,Intersection,Daylight,Traffic Police,Urban,Motorcycle,No,Yes,High
ACC11121,40,21,52.3,91.8,,5,5.3,7,1.62,36.5,4,Thursday,Fog,Dry,Rural Road,T-Junction,Poor,Signal,Urban,SUV,Yes,Yes,High
ACC11122,38,32,41.1,42.6,6.14,3,8.6,5,18.71,18.0,4,Sunday,Storm,Dry,Urban Road,Intersection,Street Lights,Stop Sign,Urban,Truck,No,No,High
ACC11123,60,40,47.5,73.0,6.96,3,9.1,4,3.34,20.9,22,Sunday,Fog,Dry,Highway,Crossroad,Street Lights,Traffic Police,Urban,SUV,No,No,High
ACC11124,39,23,29.9,35.5,9.33,4,8.2,3,59.83,32.3,14,Wednesday,Rain,Icy,Highway,Crossroad,Daylight,Signal,Urban,Car,No,Yes,Medium
ACC11125,49,30,66.3,71.1,9.96,1,8.3,5,28.33,38.2,3,Monday,Rain,Wet,Urban Road,Straight Road,Poor,Stop Sign,Urban,Car,No,No,High
ACC11126,28,13,65.3,42.0,9.4,4,9.2,8,2.82,31.2,7,Wednesday,Cloudy,Wet,Rural Road,Intersection,Street Lights,Stop Sign,Urban,Car,No,No,Medium
ACC11127,35,14,71.9,54.9,7.76,7,7.5,8,0.88,21.3,7,Wednesday,Clear,Dry,Rural Road,Straight Road,Daylight,Signal,Suburban,Motorcycle,No,No,Medium
ACC11128,18,0,50.1,79.9,4.57,4,9.3,3,0.86,30.7,22,Saturday,Clear,Dry,Highway,T-Junction,Street Lights,Stop Sign,Urban,Truck,Yes,No,High
ACC11129,36,16,46.9,26.1,9.3,3,8.9,9,0.71,30.6,9,Sunday,,Dry,Highway,Straight Road,Street Lights,Signal,Suburban,Car,No,No,Low
ACC11130,28,8,60.3,77.3,,3,9.0,6,0.48,32.2,19,Monday,Clear,Dry,Residential,Intersection,Street Lights,Uncontrolled,Urban,Car,No,No,Medium
ACC11131,27,18,54.7,54.9,8.3,3,10.7,5,40.48,29.9,16,Thursday,Rain,Dry,Rural Road,T-Junction,Daylight,Signal,Urban,Truck,No,No,Low
ACC11132,37,25,36.8,75.8,6.39,1,9.5,3,0.33,31.6,2,Tuesday,Cloudy,Wet,Urban Road,T-Junction,Daylight,Signal,Urban,Car,No,No,Medium
ACC11133,31,23,81.1,16.7,8.58,4,4.3,3,0.27,32.3,16,Friday,Clear,Dry,Urban Road,Crossroad,Daylight,Stop Sign,Urban,Motorcycle,No,No,Medium
ACC11134,18,2,49.7,57.4,6.53,4,10.1,7,0.08,29.9,22,Saturday,Clear,Dry,Rural Road,T-Junction,Daylight,Signal,Urban,Car,No,No,Medium
ACC11135,33,19,84.5,43.8,8.63,5,11.2,7,31.46,32.6,0,Thursday,Rain,Dry,Highway,T-Junction,Street Lights,Signal,Urban,Truck,Yes,No,High
ACC11136,74,55,33.7,42.0,3.56,3,11.2,5,0.34,25.9,23,Monday,Clear,Dry,Urban Road,Straight Road,Poor,Uncontrolled,Urban,Motorcycle,No,No,Medium
ACC11137,40,34,76.0,30.9,11.94,4,11.5,4,4.11,24.4,15,Wednesday,Fog,Dry,Urban Road,T-Junction,Poor,Traffic Police,Suburban,Truck,No,No,Medium
ACC11138,38,14,57.9,56.2,8.52,3,9.3,6,2.88,17.8,20,Tuesday,Cloudy,Damaged,Residential,Roundabout,Street Lights,Uncontrolled,Urban,Car,No,Yes,High
ACC11139,23,6,60.4,21.1,7.0,4,8.8,7,0.57,31.5,4,Wednesday,Cloudy,Wet,Rural Road,Crossroad,Street Lights,Stop Sign,Rural,Car,No,No,Medium
ACC11140,21,10,108.0,23.0,7.12,3,7.4,4,1.9,11.9,15,Friday,Cloudy,Wet,Residential,Crossroad,Daylight,Uncontrolled,Rural,Bus,No,Yes,High
ACC11141,25,13,45.8,12.2,11.23,2,5.4,5,33.27,30.4,0,Monday,Rain,Dry,Rural Road,T-Junction,Street Lights,Traffic Police,Suburban,Truck,No,No,Low
ACC11142,38,25,68.9,18.7,5.49,3,9.4,8,0.13,19.7,0,Tuesday,Clear,Dry,Residential,Straight Road,Daylight,Signal,Urban,Motorcycle,No,No,High
ACC11143,22,1,77.4,38.4,6.56,3,8.4,9,21.63,19.9,1,Thursday,Rain,Dry,Urban Road,Crossroad,Daylight,Signal,Rural,Truck,No,No,High
ACC11144,51,42,73.8,24.8,5.08,3,6.6,7,3.36,22.9,2,Thursday,Cloudy,Damaged,Rural Road,Crossroad,Street Lights,Signal,Urban,Car,No,No,Medium
ACC11145,22,0,56.9,35.8,8.34,7,10.3,3,0.03,32.0,16,Monday,Clear,Wet,Urban Road,Roundabout,Daylight,Stop Sign,Urban,SUV,No,No,Medium
ACC11146,44,33,50.5,32.0,9.42,2,6.9,6,4.3,30.2,16,Monday,Fog,Dry,Rural Road,T-Junction,Daylight,Traffic Police,Urban,Bus,Yes,No,Medium
ACC11147,38,16,61.9,40.1,8.57,3,9.7,2,30.56,28.2,14,Saturday,Rain,,Highway,Crossroad,Street Lights,Stop Sign,Rural,Motorcycle,No,No,Low
ACC11148,52,29,75.1,51.0,9.2,7,8.5,8,9.03,27.6,0,Wednesday,Rain,Dry,Urban Road,Crossroad,Daylight,Uncontrolled,Urban,SUV,No,No,High
ACC11149,23,4,73.1,43.6,10.66,5,11.3,3,5.49,25.7,17,Tuesday,Fog,Wet,Residential,Crossroad,Daylight,Signal,Rural,Car,No,No,High
ACC11150,69,46,48.8,69.5,7.66,4,12.2,10,4.12,18.3,7,Friday,Fog,Damaged,Residential,Crossroad,Daylight,Signal,Urban,Truck,No,No,High
ACC11151,37,17,54.0,33.8,5.8,2,10.1,7,27.99,27.9,16,Monday,Rain,Dry,Urban Road,Straight Road,Daylight,Stop Sign,Rural,SUV,No,No,Medium
ACC11152,48,40,57.9,76.3,5.7,3,6.5,5,4.81,26.7,12,Tuesday,Rain,Dry,Highway,Intersection,Daylight,Traffic Police,Rural,Car,No,No,High
ACC11153,39,15,66.7,9.7,6.03,2,7.9,11,10.79,22.6,7,Saturday,Rain,Dry,Highway,Roundabout,Street Lights,Signal,Rural,Car,No,No,Medium
ACC11154,23,14,66.8,60.6,10.91,4,9.7,6,11.96,35.7,11,Sunday,Rain,Dry,Highway,Straight Road,Daylight,Uncontrolled,Urban,Truck,No,No,Low
ACC11155,27,12,53.7,23.5,9.85,4,7.8,9,4.36,31.1,15,Monday,Cloudy,Dry,Rural Road,Roundabout,Street Lights,Signal,Rural,Car,No,No,Low
ACC11156,35,22,79.9,21.7,1.78,2,11.0,9,5.85,22.8,10,Monday,Rain,Dry,Urban Road,Crossroad,Daylight,Stop Sign,Rural,SUV,Yes,No,High
ACC11157,27,15,48.1,62.0,8.64,2,8.2,8,0.15,34.1,5,Thursday,Clear,Wet,Residential,Roundabout,Daylight,Stop Sign,Urban,Car,No,No,Medium
ACC11158,37,16,79.8,53.3,9.24,5,9.6,7,6.33,35.4,4,Sunday,Fog,Wet,Urban Road,T-Junction,Street Lights,Uncontrolled,Urban,Truck,Yes,Yes,High
ACC11159,45,34,64.4,93.0,6.21,3,9.9,5,6.72,25.0,15,Tuesday,Fog,Dry,Rural Road,T-Junction,Street Lights,Signal,Suburban,Car,No,No,High
ACC11160,49,33,76.9,38.6,6.98,4,9.8,2,0.35,30.2,0,Thursday,Clear,Wet,Rural Road,Intersection,Street Lights,Signal,Urban,Car,No,No,High
ACC11161,53,41,81.5,38.1,5.55,6,6.7,5,10.66,28.2,0,Saturday,,Dry,Urban Road,Intersection,Poor,Signal,Suburban,SUV,No,No,High
ACC11162,35,12,44.4,26.1,4.91,2,11.8,3,0.52,17.1,9,Thursday,Clear,Dry,Urban Road,Roundabout,Daylight,Traffic Police,Urban,Truck,No,No,Low
ACC11163,30,22,39.9,53.5,6.71,4,8.9,8,0.91,25.7,19,Sunday,Clear,Dry,Rural Road,Straight Road,Daylight,Signal,Urban,Car,No,No,Medium
ACC11164,18,9,88.2,81.0,12.0,3,7.9,6,10.19,31.9,12,Saturday,Rain,,Rural Road,Straight Road,Poor,Signal,Urban,Car,No,Yes,High
ACC11165,18,11,87.9,25.4,6.3,4,5.2,9,1.57,27.8,13,Sunday,Clear,Dry,Urban Road,Crossroad,Daylight,Stop Sign,Urban,Truck,No,No,High
ACC11166,34,14,64.4,32.3,7.4,4,5.3,4,22.46,32.5,13,Tuesday,Rain,Dry,Highway,Straight Road,Daylight,Stop Sign,Urban,Bus,Yes,No,High
ACC11167,49,41,58.4,53.6,5.75,4,7.2,3,28.98,28.6,3,Saturday,Rain,Dry,Urban Road,Intersection,Daylight,Uncontrolled,Rural,Truck,Yes,No,Medium
ACC11168,36,20,31.5,80.2,3.13,2,7.1,11,7.96,25.0,8,Saturday,Cloudy,Icy,Urban Road,Straight Road,Street Lights,Traffic Police,Urban,Truck,No,No,High
ACC11169,40,20,52.8,49.1,7.55,4,5.7,4,0.46,35.6,8,Thursday,Clear,Dry,Highway,Crossroad,Daylight,Stop Sign,Rural,Car,Yes,No,Medium
ACC11170,24,17,49.5,74.9,10.34,2,7.3,9,0.85,24.6,1,Sunday,Clear,Dry,Urban Road,T-Junction,Daylight,Traffic Police,Suburban,SUV,No,No,Low
ACC11171,30,6,72.0,58.1,9.01,2,10.7,4,2.41,26.4,2,Wednesday,Cloudy,Dry,Rural Road,Straight Road,Daylight,Uncontrolled,Urban,Truck,No,No,Medium
ACC11172,48,37,65.6,68.1,6.69,2,9.3,4,24.92,35.3,0,Sunday,Storm,Wet,Rural Road,Straight Road,Street Lights,Signal,Urban,Motorcycle,No,No,High
ACC11173,40,19,89.3,51.5,9.31,2,5.9,3,3.39,41.5,21,Friday,Cloudy,Dry,Residential,Intersection,Daylight,Traffic Police,Urban,Motorcycle,No,No,High
ACC11174,30,9,21.7,29.4,6.99,3,10.8,9,0.15,32.1,21,Friday,Clear,Wet,Rural Road,Roundabout,Daylight,Uncontrolled,Urban,Motorcycle,No,No,Low
ACC11175,42,30,69.0,75.1,4.67,4,10.7,10,4.14,26.3,7,Wednesday,Cloudy,Dry,Residential,T-Junction,Street Lights,Signal,Urban,Bus,Yes,No,High
ACC11176,36,20,46.9,66.0,2.61,2,5.1,9,0.09,24.6,16,Monday,Cloudy,Dry,Highway,Roundabout,Poor,Uncontrolled,Urban,Truck,No,No,High
ACC11177,47,29,57.3,61.9,7.44,5,11.6,7,11.44,20.7,8,Thursday,Rain,Dry,Highway,Crossroad,Street Lights,Signal,Rural,SUV,No,No,Medium
ACC11178,40,27,76.1,32.9,12.0,1,9.9,3,0.35,35.1,12,Friday,Clear,Dry,Residential,Crossroad,Street Lights,Signal,Urban,Motorcycle,Yes,No,Low
ACC11179,31,19,54.2,9.6,5.03,3,10.7,7,11.3,33.5,21,Tuesday,Rain,Dry,Highway,Roundabout,Daylight,Uncontrolled,Suburban,Truck,No,No,Medium
ACC11180,33,11,116.1,67.2,6.12,4,6.4,4,3.25,24.0,8,Saturday,Cloudy,Dry,Urban Road,Intersection,Daylight,Uncontrolled,Rural,SUV,No,No,High
ACC11181,20,11,51.5,18.1,10.27,2,7.8,7,29.45,24.5,18,Saturday,Storm,Dry,Rural Road,Intersection,Daylight,Uncontrolled,Rural,Car,No,No,Medium
ACC11182,18,0,50.5,39.3,5.39,2,7.4,4,2.18,21.2,19,Monday,Clear,Dry,Residential,Intersection,Street Lights,Signal,Rural,Motorcycle,No,No,Medium
ACC11183,30,21,26.2,65.6,8.38,1,6.9,4,1.87,21.8,9,Friday,Cloudy,Dry,Rural Road,T-Junction,,Traffic Police,Rural,Truck,No,No,Medium
ACC11184,50,31,65.0,12.7,5.62,1,7.0,5,4.11,24.9,13,Sunday,Fog,Icy,Highway,Crossroad,Street Lights,Signal,Urban,SUV,No,No,Medium
ACC11185,40,29,59.3,57.3,4.2,4,6.5,2,1.27,27.4,13,Thursday,Clear,Dry,Rural Road,Crossroad,Poor,Signal,Rural,Car,No,No,High
ACC11186,32,8,31.9,40.9,4.88,3,9.8,6,0.74,36.9,3,Friday,Fog,Wet,Residential,Crossroad,Daylight,Signal,Rural,Car,No,No,Medium
ACC11187,42,25,50.4,48.3,8.07,2,8.9,8,18.86,23.4,4,Thursday,Rain,Wet,Urban Road,T-Junction,Daylight,Signal,Urban,Car,Yes,No,Medium
ACC11188,47,31,70.1,10.4,12.0,8,10.9,8,0.21,36.6,16,Monday,Clear,Dry,Rural Road,Crossroad,Daylight,Signal,Urban,Car,No,No,Low
ACC11189,28,17,36.5,49.7,7.58,3,3.2,5,0.92,28.7,2,Sunday,Clear,Dry,Urban Road,Roundabout,,Stop Sign,Urban,Car,No,No,Low
ACC11190,28,13,44.2,81.3,10.26,6,9.4,7,23.3,15.9,9,Sunday,Rain,Dry,Highway,Straight Road,Daylight,Uncontrolled,Urban,Motorcycle,No,No,High
